p1,p2,p1_cards,p1_tricks,p2_cards,p2_tricks,draw_cards,draw_tricks,games_count
000,001,43156,6394,42701,6636,0,0,1800
000,010,34123,5303,51725,8069,0,0,1800
000,011,33777,6394,54401,9812,0,0,1800
000,100,4479,1493,81315,11532,0,0,1800
000,101,36184,6394,51536,9078,0,0,1800
000,110,21613,4668,66576,11476,0,0,1800
000,111,42973,6394,41867,6299,0,0,1800
001,000,42701,6636,43156,6394,0,0,1800
001,010,62210,10291,25783,5182,0,0,1800
001,011,63354,11551,25658,5708,0,0,1800
001,100,13419,3526,73157,10805,0,0,1800
001,101,60717,11551,28819,6840,0,0,1800
001,110,44726,9268,44759,9222,0,0,1800
001,111,66952,11551,21400,4692,0,0,1800
010,000,51725,8069,34123,5303,0,0,1800
010,001,25783,5182,62210,10291,0,0,1800
010,011,44507,9131,44884,9238,0,0,1800
010,100,40317,7584,47328,7882,0,0,1800
010,101,42889,6508,42455,6433,0,0,1800
010,110,29091,6933,60243,11476,0,0,1800
010,111,51875,9131,35785,6299,0,0,1800
011,000,54401,9812,33777,6394,0,0,1800
011,001,25658,5708,63354,11551,0,0,1800
011,010,44884,9238,44507,9131,0,0,1800
011,100,44761,9280,44570,9203,0,0,1800
011,101,47074,7855,40733,7542,0,0,1800
011,110,72976,10745,13692,3608,0,0,1800
011,111,81335,11486,4587,1529,0,0,1800
100,000,81315,11532,4479,1493,0,0,1800
100,001,73157,10805,13419,3526,0,0,1800
100,010,47328,7882,40317,7584,0,0,1800
100,011,44570,9203,44761,9280,0,0,1800
100,101,45078,9315,44150,9078,0,0,1800
100,110,25698,5690,63201,11476,0,0,1800
100,111,54990,9907,33237,6299,0,0,1800
101,000,51536,9078,36184,6394,0,0,1800
101,001,28819,6840,60717,11551,0,0,1800
101,010,42455,6433,42889,6508,0,0,1800
101,011,40733,7542,47074,7855,0,0,1800
101,100,44150,9078,45078,9315,0,0,1800
101,110,26520,5224,61294,10167,0,0,1800
101,111,52167,8076,33769,5274,0,0,1800
110,000,66576,11476,21613,4668,0,0,1800
110,001,44759,9222,44726,9268,0,0,1800
110,010,60243,11476,29091,6933,0,0,1800
110,011,13692,3608,72976,10745,0,0,1800
110,100,63201,11476,25698,5690,0,0,1800
110,101,61294,10167,26520,5224,0,0,1800
110,111,42716,6704,43123,6299,0,0,1800
111,000,41867,6299,42973,6394,0,0,1800
111,001,21400,4692,66952,11551,0,0,1800
111,010,35785,6299,51875,9131,0,0,1800
111,011,4587,1529,81335,11486,0,0,1800
111,100,33237,6299,54990,9907,0,0,1800
111,101,33769,5274,52167,8076,0,0,1800
111,110,43123,6299,42716,6704,0,0,1800
